input,output
"As the social media manager for 'united rentals' (Twitter: @UnitedRentals), create a tweet using the following keywords: ['industry', 'wait', 'wait', 'wait', 'wait', 'wait', 'wait', 'wait', 'have', 'wait', 'wait', 'wait', 'wait', 'wait', 'wait', 'wait']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","With our #SalesDevelopmentProgram, you'll learn persuasive selling skills and harness the power of negotiation. Check out this clip to hear more: <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'red', 'shirt', 'hold', 'gold', 'object', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Amidst Royal Rumble ln Onicha-Olona Kingdom In Delta, Monarch Gets Staff Of Office <hyperlink> <hyperlink>"
"As the social media manager for 'williams' (Twitter: @WilliamsRacing), create a tweet using the following keywords: ['picture', 'man', 'race', 'car', 'hat', 'race']. Craft a message that aligns with our brand and is likely to receive at least 168 likes.","Into the semi-finals!

What are your fondest memories of these four drivers in Williams machinery and who will you choose to advance to the final? 🤔

#WeAreWilliams 💙 <hyperlink>"
"As the social media manager for 'cbc' (Twitter: @CBCNB), create a tweet using the following keywords: ['woman', 'lab', 'coat', 'hold', 'bottle', 'wine', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 100 likes.","Move over, gin. Distillery moves to producing hand sanitizer to fight COVID-19: <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['king', 'oyo', 'crown', 'crown']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Benin Palace Announces Arrival Of New Prince <hyperlink> <hyperlink>
"As the social media manager for 'toyota' (Twitter: @Toyota_Fortuner), create a tweet using the following keywords: ['toyota', 'fortuner', 'playground', 'toyota', 'forterner']. Craft a message that aligns with our brand and is likely to receive at least 10 likes.","Sandy, muddy terrain exploration? Yes – we’ve got you covered. Visit <hyperlink> to know more! #ToyotaFortuner <hyperlink>"
"As the social media manager for 'toyota' (Twitter: @ToyotaSD), create a tweet using the following keywords: ['woman', 'dark', 'hair', 'red', 'shirt']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.",Toyota Motor North America Chief Diversity Officer Sandra Phillips Rogers on Diversity and Inclusion -&gt; <hyperlink> #Toyota #Diversity #Inclusion <hyperlink>
"As the social media manager for 'hobby lobby' (Twitter: @HobbyLobby), create a tweet using the following keywords: ['display', 'color', 'book', 'shelf', 'color']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.",Take some time for you today on #NationalColoringBookDay! <hyperlink>
"As the social media manager for 'williams' (Twitter: @WilliamsRacing), create a tweet using the following keywords: ['young', 'man', 'blue', 'jacket', 'smile', 'smile']. Craft a message that aligns with our brand and is likely to receive at least 189 likes.","Suit up, <mention>! 

#GR63 back in the car for #FP2 

#BelgianGP 🇧🇪 <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['buhari', 'kaduna', 'governor', 'meet', 'security', 'economy', 'meet']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Things To Know About New FIRS Chairman <hyperlink> <hyperlink>
"As the social media manager for 'bacardi' (Twitter: @NH7), create a tweet using the following keywords: ['stage', 'red', 'light', 'smoke', 'smoke']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",Can you spot <mention> killing it on stage? #BacardiNH7 <hyperlink>
"As the social media manager for 'amc' (Twitter: @AMCtvUK), create a tweet using the following keywords: ['group', 'people', 'costume', 'stand', 'man', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.",They are so sweet when they are young ☺️ #NOS4A2 <hyperlink>
"As the social media manager for 'cisco' (Twitter: @CiscoCanada), create a tweet using the following keywords: ['dna', 'difference', 'dna', 'comparison']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",#CiscoDNA Center​ = Happy and productive Network Engineer <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @cnnbrk), create a tweet using the following keywords: ['military', 'plane', 'fly', 'sky', 'cloud', 'fly']. Craft a message that aligns with our brand and is likely to receive at least 1398 likes.","US and Canadian fighter jets intercept two Russian long-range, nuclear-capable bombers off the coast of Alaska
<hyperlink> <hyperlink>"
"As the social media manager for 'amway' (Twitter: @AmwayUS), create a tweet using the following keywords: ['business', 'build', 'foundation', 'value', 'build']. Craft a message that aligns with our brand and is likely to receive at least 133 likes.","Freedom | Family | Hope | Reward
A 💪 foundation is everything in business. And these values are what keep Amway and Independent Business Owners moving in the right direction. #amwayvalues <hyperlink>"
"As the social media manager for 'oracle' (Twitter: @redbullracing), create a tweet using the following keywords: ['man', 'wheelchair', 'sit', 'office', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 1308 likes.",The Bulls are going a little stir crazy... 😂 #PushTheBoundaries <hyperlink>
"As the social media manager for 'shell' (Twitter: @Shell), create a tweet using the following keywords: ['woman', 'red', 'yellow', 'shirt', 'smile', 'smile']. Craft a message that aligns with our brand and is likely to receive at least 103 likes.","⛽ 🍫 From fuel, drinks and snacks
🍎 💧 To fruit, vegetables and hand sanitiser

Teams at Shell service stations around the world have seen customer needs change during the #COVID19 lockdown. Discover how they took on the challenge: <hyperlink> <hyperlink>"
"As the social media manager for 'bell' (Twitter: @poornabell), create a tweet using the following keywords: ['book', 'open', 'quote', 'author']. Craft a message that aligns with our brand and is likely to receive at least 421 likes.","I don’t think that I will ever stop being grateful that Nick Cave let me use his words, which is one of the most true, beautiful, hopeful things I’ve read on grief, in my book In Search of Silence. <hyperlink>"
"As the social media manager for 'cnn' (Twitter: @CNN), create a tweet using the following keywords: ['woman', 'wear', 'shirt', 'say', 'care', 'care', 'wear', 'say', 'care', 'care']. Craft a message that aligns with our brand and is likely to receive at least 2009 likes.",T-shirt makers are riffing on Melania Trump's jacket and donating the proceeds to refugee services <hyperlink> <hyperlink>
"As the social media manager for 'williams' (Twitter: @w_terrence), create a tweet using the following keywords: ['kathy', 'griffin', 'tweet', 'president']. Craft a message that aligns with our brand and is likely to receive at least 252 likes.",<mention> <mention> Didn’t know that! But she is telling people to Suck D**K so how was i supposed to know <hyperlink>
"As the social media manager for 'turkish airlines' (Twitter: @EuroLeague), create a tweet using the following keywords: ['man', 'black', 'shirt', 'hold', 'basketball', 'hoop', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 67 likes.",Ready to relight the 🔥 <hyperlink>
"As the social media manager for 'free' (Twitter: @RadioFreeAsia), create a tweet using the following keywords: ['cartoon', 'man', 'suit', 'stand', 'rhino', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 218 likes.",President Xi Jinping faces economic threats on all sides as China opens its annual legislative sessions. <hyperlink>
"As the social media manager for 'toyota' (Twitter: @CheetahsRugby), create a tweet using the following keywords: ['view', 'match', 'day', 'program', 'online', 'view']. Craft a message that aligns with our brand and is likely to receive at least 6 likes.","Get your online match day program here  👉 <hyperlink>

#CHEvsMUN #GUINNESSPRO14 #OrangePride <hyperlink>"
"As the social media manager for 'free' (Twitter: @freep), create a tweet using the following keywords: ['hockey', 'player', 'hold', 'cup', 'crowd', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 168 likes.","Fun fact: Today marks 11 years since Detroit last won a major professional sports championship. 

(📷: Julian H. Gonzalez) <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['nigerian', 'army', 'recruitment']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",COVID-19 lockdown: DHQ Dismisses Torture Videos <hyperlink> <hyperlink>
"As the social media manager for 'cnn' (Twitter: @cnnbrk), create a tweet using the following keywords: ['man', 'military', 'uniform', 'wear', 'tie', 'wear', 'suit', 'wear', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 677 likes.","President Trump has named former pharmaceutical executive Moncef Slaoui and Army Gen. Gustave Perna to lead ""Operation Warp Speed,"" the effort to develop a coronavirus vaccine <hyperlink> <hyperlink>"
"As the social media manager for 'microsoft' (Twitter: @MSFTResearch), create a tweet using the following keywords: ['microsoft', 'cloud', 'ai', 'research', 'challenge', 'ai']. Craft a message that aligns with our brand and is likely to receive at least 50 likes.","You could win $25,000 for creating a working, interactive software application using Microsoft #AI services. The deadline for students &amp; academic faculty to apply for Cloud AI resources is February 15th. Learn more: <hyperlink> #datascience  #Azure #machinelearning <hyperlink>"
"As the social media manager for 'microsoft' (Twitter: @bing), create a tweet using the following keywords: ['faroe', 'islands', 'iceland', 'norway', 'europe', 'norway', 'norway']. Craft a message that aligns with our brand and is likely to receive at least 56 likes.","The Kallur Lighthouse stands watch from its perch on Kalsoy Island in the Faroe Islands, where today residents are celebrating Ólavsøka—the summer festival that doubles as a national holiday. <hyperlink>"
"As the social media manager for 'cbc' (Twitter: @CBCPolitics), create a tweet using the following keywords: ['person', 'feed', 'beluga', 'whale', 'fish', 'feed']. Craft a message that aligns with our brand and is likely to receive at least 61 likes.","Ban on whale, dolphin captivity poised to become law in Canada <hyperlink> #hw #cdnpoli <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'suit', 'tie', 'smile', 'tie', 'smile']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Aleph Hospitality Signs Pact For New Protea Hotel In Kenya <hyperlink> <hyperlink>
"As the social media manager for 'walmart' (Twitter: @Walmart), create a tweet using the following keywords: ['chip', 'cheese', 'snack', 'display', 'table', 'display']. Craft a message that aligns with our brand and is likely to receive at least 16 likes.","<mention> <mention> No comment. Alright, alright. Bold and Cheesy, Flamin’ Hot and Cheesy Jalapeno Cheetos Mac ‘n Cheese are hitting Walmart shelves on 8/8. <hyperlink>"
"As the social media manager for 'sabc' (Twitter: @METROFMSA), create a tweet using the following keywords: ['people', 'sit', 'desk', 'radio', 'studio', 'sit']. Craft a message that aligns with our brand and is likely to receive at least 970 likes.",The #gqomQueen herself <mention> in stu with #theDriveOnMetro  <mention> <mention> 📞089 110 33 77/ voice-notes to 071 585 6157 <hyperlink>
"As the social media manager for 'emerson' (Twitter: @EMR_Automation), create a tweet using the following keywords: ['great', 'line', 'flexibility', 'do']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",Emerson can cost-effectively improve a line’s flexibility. Register for a free exhibit area pass #PACKEXPO Booth N-4721 <hyperlink> <hyperlink>
"As the social media manager for 'cisco' (Twitter: @ciscoapac), create a tweet using the following keywords: ['cisco', 'ios', 'ipsec', 'security', 'feature']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",It’s #FriYay #secret: Our favorite puzzle is trying to work out the parts ourselves. What is Reverse Mentoring? Solve the puzzle! #reversementoring #wearecisco #culture #mentoring <mention> <hyperlink>
"As the social media manager for 'bacardi' (Twitter: @OriginalFresca), create a tweet using the following keywords: ['walk', 'walk', 'walk', 'keep', 'walk', 'walk', 'walk']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",5 days later and I finally walked around the block once <hyperlink>
"As the social media manager for 'united rentals' (Twitter: @UnitedRentals), create a tweet using the following keywords: ['man', 'wear', 'tan', 'shirt', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","From #branch management to #operations, we have a variety of positions available in your area. Apply today: <hyperlink> #Jobs #Construction <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['elon', 'musk', 'mark', 'zuckerberg']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Facebook Is Lame- Elon Musk <hyperlink> <hyperlink>
"As the social media manager for 'cbc' (Twitter: @CBCToronto), create a tweet using the following keywords: ['man', 'police', 'uniform', 'sunglass', 'pose', 'picture', 'pose']. Craft a message that aligns with our brand and is likely to receive at least 47 likes.",Judge calls Toronto police officer who ate cannabis chocolate on duty a 'complete idiot' <hyperlink> <hyperlink>
"As the social media manager for 'bayer' (Twitter: @bayer04_en), create a tweet using the following keywords: ['young', 'goalscorer', 'bundesliga', 'history']. Craft a message that aligns with our brand and is likely to receive at least 777 likes.","‼️ 17 years, 34 days ‼️

👏 Florian Wirtz is now the youngest goalscorer in Bundesliga history. <hyperlink>"
"As the social media manager for 'emerson' (Twitter: @EMR_Automation), create a tweet using the following keywords: ['melbourne', 'convention', 'centre']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.","Join us on March 26-29 at #AUSPACK2019, Australasia's all encompassing food, beverage, &amp; pharmaceutical processing and packaging event. Register at <hyperlink> and see you in booth H030. <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'black', 'shirt', 'smile', 'smile']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Gov Wike Appoints 15 Special Advisers <hyperlink> <hyperlink>
"As the social media manager for 'no' (Twitter: @NoLayingUp), create a tweet using the following keywords: ['golf', 'course', 'green', 'grassy', 'area', 'building']. Craft a message that aligns with our brand and is likely to receive at least 1136 likes.","The No Laying Up Invitational: Scotland

30 spots available (plus all of 5 of us). April 12-18, 2020.

Crail
Eden
Jubilee
New
Old
Carnoustie
Panmure
Elie

Details launching tomorrow at Noon ET. <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['group', 'woman', 'uniform', 'stand', 'line', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.",Corp Member Sensitises Kaduna Drivers On Safety Measures <hyperlink> <hyperlink>
"As the social media manager for 'td' (Twitter: @TD_Canada), create a tweet using the following keywords: ['woman', 'hold', 'lit', 'diya', 'hand', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 104 likes.",#HappyDiwali to all those celebrating! <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'blue', 'white', 'outfit']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","10 Years After, Oba Saheed Elegushi Remembers Late Dad <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['federal', 'government', 'commence', 'construction', 'new', 'airport', 'kano', 'commence']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",Covid-19 Compels FAAN To Suspend National Aviation Conference <hyperlink> <hyperlink>
"As the social media manager for 'target' (Twitter: @TargetCenterMN), create a tweet using the following keywords: ['carrie', 'underwood', 'perform', 'cmt', 'music', 'festival', 'perform']. Craft a message that aligns with our brand and is likely to receive at least 72 likes.","An amazing night with the incredible <mention> . 💜 #CryPrettyTour360 

📸: <mention> <hyperlink>"
"As the social media manager for 'toyota' (Twitter: @DriveToyota), create a tweet using the following keywords: ['person', 'touch', 'touch', 'screen', 'car', 'touch']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","With the #Corolla's available 7-in. touch-screen display, the whole world is at your fingertips. <hyperlink> <hyperlink>"
"As the social media manager for 'emerson' (Twitter: @EMR_Automation), create a tweet using the following keywords: ['laptop', 'notebook', 'phone', 'item', 'wooden', 'table']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","Attention students pursuing a career in the field of #IT: What you learn in the classroom doesn’t always stack up in real life. Programmer, Candy Aisenbrey, dispels common myths &amp; provides practical tips for professional success in this #WomenInSTEM blog <hyperlink> <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @ciscoDC), create a tweet using the following keywords: ['way', 'power', 'datum']. Craft a message that aligns with our brand and is likely to receive at least 3 likes.","Are you looking to harness the power of your company’s data to create a better customer experience? If so, join us on August 13 to hear the LA <mention> CIO explain how they are doing it with the help of Cisco technologies! <hyperlink> <hyperlink>"
"As the social media manager for 'hudson' (Twitter: @SallyLHudson), create a tweet using the following keywords: ['virginia', 'learn', 'general', 'assembly', 'control', 'learn', 'control']. Craft a message that aligns with our brand and is likely to receive at least 176 likes.","Guilty as charged, <mention>. Some of us wake up every day thinking about how to serve Virginia better. <hyperlink>"
"As the social media manager for 'aaa' (Twitter: @AAAhoosier), create a tweet using the following keywords: ['woman', 'wear', 'earphone', 'neck', 'pillow', 'airplane', 'wear']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.","Wondering what you should pack for your next flight? AAA Travel recommends these top 10 carry-on items.
<hyperlink> <hyperlink>"
"As the social media manager for 'williams' (Twitter: @ShaneWilliams11), create a tweet using the following keywords: ['man', 'take', 'selfie', 'take']. Craft a message that aligns with our brand and is likely to receive at least 1059 likes.",Great to be watching #WALvENG with the brothers from the <mention> ad. What a story. Come on Wales! #GuinnessSixNations <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['man', 'glass', 'suit', 'hold', 'microphone', 'hold']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","Edo Election: Gov Obaseki’s Ward Councilor, Six Others Declare Support For Ize-Iyamu <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['jamb', 'admission', 'application', 'begin', 'today', 'begin']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",JAMB Abolishes N100m Allocation To State Offices <hyperlink> <hyperlink>
"As the social media manager for 'cbc' (Twitter: @CBCOlympics), create a tweet using the following keywords: ['people', 'skate', 'black', 'dress', 'leopard', 'print', 'skate']. Craft a message that aligns with our brand and is likely to receive at least 131 likes.",#VirtueMoir shine in ice dance showdown with French duo ⛸ <hyperlink> <hyperlink>
"As the social media manager for 'metro' (Twitter: @metrotrains), create a tweet using the following keywords: ['black', 'white', 'photo', 'train', 'track']. Craft a message that aligns with our brand and is likely to receive at least 56 likes.","Photo-editing 1973 style...

'We need a publicity photo of one of our Hitachi trains with no background...'
'Righto, where's that bottle of white-out?' 

Thankfully this isn't necessary for the new HCMT photos... #RetroMetro <hyperlink>"
"As the social media manager for 'ericsson' (Twitter: @EricssonIndia), create a tweet using the following keywords: ['man', 'glass', 'suit', 'stand', 'outside', 'stand']. Craft a message that aligns with our brand and is likely to receive at least 48 likes.","“Ericsson’s #5G Platform can be installed on top of existing technology enabling a seamless transition to 5G from #4G.” Nunzio Mirtillo, Head MOAI,   Ericsson. Catch us at Mobile World Congress where we showcase the potential of #5G #MWC18 #EricssonMWC18 <hyperlink>"
"As the social media manager for 'cisco' (Twitter: @CiscoANZ), create a tweet using the following keywords: ['save', 'early', 'bird', 'offer', 'save']. Craft a message that aligns with our brand and is likely to receive at least 4 likes.",Registration is officially open for #CLMel 2020! Lock in the lowest price today for the ultimate IT conference heading your way in March 2020. <hyperlink> <hyperlink>
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['green', 'gate', 'sign', 'say', 'soman', 'say']. Craft a message that aligns with our brand and is likely to receive at least 0 likes.",SON Mulls Promotion Of Best Practices In Nigeria’s Oil Sector <hyperlink> <hyperlink>
"As the social media manager for 'pepsico' (Twitter: @PepsiCoUKTrade), create a tweet using the following keywords: ['naked', 'protein', 'pomegranate']. Craft a message that aligns with our brand and is likely to receive at least 2 likes.",Naked has introduced new Pomegranate Protein to its range. Stock the new flavour with added benefits and help your customers enjoy one of their five a day with the added protein boost! #NPD #NewProducts <hyperlink>
"As the social media manager for 'avon' (Twitter: @AvonInsider), create a tweet using the following keywords: ['woman', 'eye', 'spider', 'web', 'tattoo']. Craft a message that aligns with our brand and is likely to receive at least 44 likes.","Seeking the perfect addition to your #Halloween look? Whip up this boo-tiful spiderweb eyeliner with our black Waterproof Glimmerstick, black SuperExtend Liquid Liner, and True Color Eyeshadow Duo in Orange Crush. <hyperlink>"
"As the social media manager for 'monster' (Twitter: @monsterhunter), create a tweet using the following keywords: ['free', 'title', 'update', 'future']. Craft a message that aligns with our brand and is likely to receive at least 1256 likes.","""Our goal is to fast-track development and catch up with the console updates and release them at the same time.""

Steam website is now live with a glimpse of the PC Title Update Roadmap: <hyperlink> <hyperlink>"
"As the social media manager for 'independent' (Twitter: @IndependentNGR), create a tweet using the following keywords: ['president', 'buhari', 'vice', 'president', 'yemi', 'osinbajo', 'government', 'official']. Craft a message that aligns with our brand and is likely to receive at least 1 likes.","COVID-19: Plateau Govt. Cautions Against Chloroquine Misuse, Shuts Borders <hyperlink> <hyperlink>"
